Date,count
2013-03-01,31
2013-03-02,30
2013-03-03,15
2013-03-04,32
2013-03-05,31
2013-03-06,22
2013-03-07,24
2013-03-08,37
2013-03-09,16
2013-03-10,16
2013-03-11,21
2013-03-12,22
2013-03-13,21
2013-03-14,22
2013-03-15,22
2013-03-16,14
2013-03-17,15
2013-03-18,24
2013-03-19,15
2013-03-20,12
2013-03-21,30
2013-03-22,46
2013-03-23,19
2013-03-24,23
2013-03-25,31
2013-03-26,26
2013-03-27,15
2013-03-28,24
2013-03-29,29
2013-03-30,17
2013-03-31,15
2013-04-01,25
2013-04-02,40
2013-04-03,33
2013-04-04,35
2013-04-05,36
2013-04-06,19
2013-04-07,14
2013-04-08,37
2013-04-09,36
2013-04-10,27
2013-04-11,35
2013-04-12,35
2013-04-13,33
2013-04-14,24
2013-04-15,33
2013-04-16,45
2013-04-17,41
2013-04-18,40
2013-04-19,37
2013-04-20,26
2013-04-21,23
2013-04-22,53
2013-04-23,55
2013-04-24,45
2013-04-25,40
2013-04-26,37
2013-04-27,20
2013-04-28,19
2013-04-29,33
2013-04-30,45
2013-05-01,39
2013-05-02,81
2013-05-03,45
2013-05-04,26
2013-05-05,23
2013-05-06,42
2013-05-07,38
2013-05-08,39
2013-05-09,36
2013-05-10,35
2013-05-11,27
2013-05-12,20
2013-05-13,43
2013-05-14,40
2013-05-15,38
2013-05-16,39
2013-05-17,40
2013-05-18,29
2013-05-19,26
2013-05-20,60
2013-05-21,54
2013-05-22,41
2013-05-23,54
2013-05-24,63
2013-05-25,44
2013-05-26,28
2013-05-27,65
2013-05-28,59
2013-05-29,60
2013-05-30,106
2013-05-31,61
2013-06-01,32
2013-06-02,25
2013-06-03,57
2013-06-04,58
2013-06-05,59
2013-06-06,78
2013-06-07,64
2013-06-08,35
2013-06-09,32
2013-06-10,49
2013-06-11,62
2013-06-12,75
2013-06-13,53
2013-06-14,50
2013-06-15,33
2013-06-16,27
2013-06-17,55
2013-06-18,61
2013-06-19,59
2013-06-20,60
2013-06-21,76
2013-06-22,70
2013-06-23,44
2013-06-24,66
2013-06-25,81
2013-06-26,69
2013-06-27,67
2013-06-28,103
2013-06-29,63
2013-06-30,42
2013-07-01,86
2013-07-02,101
2013-07-03,85
2013-07-04,75
2013-07-05,78
2013-07-06,42
2013-07-07,39
2013-07-08,87
2013-07-09,79
2013-07-10,82
2013-07-11,78
2013-07-12,53
2013-07-13,37
2013-07-14,37
2013-07-15,86
2013-07-16,95
2013-07-17,85
2013-07-18,70
2013-07-19,77
2013-07-20,50
2013-07-21,86
2013-07-22,124
2013-07-23,107
2013-07-24,83
2013-07-25,68
2013-07-26,78
2013-07-27,41
2013-07-28,41
2013-07-29,84
2013-07-30,80
2013-07-31,89
2013-08-01,103
2013-08-02,74
2013-08-03,54
2013-08-04,38
2013-08-05,131
2013-08-06,120
2013-08-07,95
2013-08-08,126
2013-08-09,78
2013-08-10,56
2013-08-11,43
2013-08-12,96
2013-08-13,99
2013-08-14,99
2013-08-15,172
2013-08-16,178
2013-08-17,69
2013-08-18,53
2013-08-19,127
2013-08-20,147
2013-08-21,133
2013-08-22,125
2013-08-23,102
2013-08-24,58
2013-08-25,48
2013-08-26,108
2013-08-27,105
2013-08-28,100
2013-08-29,170
2013-08-30,120
2013-08-31,63
2013-09-01,54
2013-09-02,100
2013-09-03,130
2013-09-04,160
2013-09-05,248
2013-09-06,116
2013-09-07,66
2013-09-08,58
2013-09-09,146
2013-09-10,115
2013-09-11,113
2013-09-12,118
2013-09-13,142
2013-09-14,81
2013-09-15,91
2013-09-16,129
2013-09-17,185
2013-09-18,151
2013-09-19,139
2013-09-20,130
2013-09-21,72
2013-09-22,67
2013-09-23,116
2013-09-24,150
2013-09-25,149
2013-09-26,144
2013-09-27,142
2013-09-28,101
2013-09-29,73
2013-09-30,123
2013-10-01,196
2013-10-02,146
2013-10-03,129
2013-10-04,104
2013-10-05,65
2013-10-06,51
2013-10-07,142
2013-10-08,191
2013-10-09,174
2013-10-10,173
2013-10-11,189
2013-10-12,97
2013-10-13,112
2013-10-14,159
2013-10-15,178
2013-10-16,177
2013-10-17,184
2013-10-18,156
2013-10-19,84
2013-10-20,71
2013-10-21,156
2013-10-22,176
2013-10-23,166
2013-10-24,146
2013-10-25,121
2013-10-26,82
2013-10-27,86
2013-10-28,147
2013-10-29,167
2013-10-30,157
2013-10-31,142
2013-11-01,161
2013-11-02,103
2013-11-03,76
2013-11-04,156
2013-11-05,169
2013-11-06,170
2013-11-07,193
2013-11-08,120
2013-11-09,86
2013-11-10,93
2013-11-11,182
2013-11-12,135
2013-11-13,178
2013-11-14,165
2013-11-15,120
2013-11-16,80
2013-11-17,78
2013-11-18,155
2013-11-19,158
2013-11-20,149
2013-11-21,185
2013-11-22,129
2013-11-23,79
2013-11-24,127
2013-11-25,136
2013-11-26,198
2013-11-27,180
2013-11-28,184
2013-11-29,156
2013-11-30,112
2013-12-01,87
2013-12-02,168
2013-12-03,257
2013-12-04,211
2013-12-05,206
2013-12-06,189
2013-12-07,97
2013-12-08,100
2013-12-09,183
2013-12-10,160
2013-12-11,200
2013-12-12,198
2013-12-13,151
2013-12-14,90
2013-12-15,113
2013-12-16,218
2013-12-17,187
2013-12-18,196
2013-12-19,181
2013-12-20,144
2013-12-21,82
2013-12-22,77
2013-12-23,151
2013-12-24,133
2013-12-25,153
2013-12-26,140
2013-12-27,161
2013-12-28,128
2013-12-29,97
2013-12-30,205
2013-12-31,202
2014-01-01,188
2014-01-02,178
2014-01-03,176
2014-01-04,117
2014-01-05,99
2014-01-06,219
2014-01-07,175
2014-01-08,177
2014-01-09,171
2014-01-10,171
2014-01-11,111
2014-01-12,96
2014-01-13,198
2014-01-14,172
2014-01-15,162
2014-01-16,118
2014-01-17,125
2014-01-18,90
2014-01-19,92
2014-01-20,237
2014-01-21,207
2014-01-22,200
2014-01-23,252
2014-01-24,178
2014-01-25,97
2014-01-26,123
2014-01-27,227
2014-01-28,215
2014-01-29,193
2014-01-30,179
2014-01-31,226
2014-02-01,134
2014-02-02,105
2014-02-03,191
2014-02-04,267
2014-02-05,254
2014-02-06,216
2014-02-07,205
2014-02-08,159
2014-02-09,151
2014-02-10,299
2014-02-11,224
2014-02-12,216
2014-02-13,212
2014-02-14,236
2014-02-15,134
2014-02-16,117
2014-02-17,239
2014-02-18,232
2014-02-19,229
2014-02-20,193
2014-02-21,171
2014-02-22,115
2014-02-23,114
2014-02-24,226
2014-02-25,218
2014-02-26,272
2014-02-27,231
2014-02-28,204
2014-03-01,122
2014-03-02,108
2014-03-03,228
2014-03-04,236
2014-03-05,263
2014-03-06,232
2014-03-07,212
2014-03-08,126
2014-03-09,122
2014-03-10,243
2014-03-11,227
2014-03-12,264
2014-03-13,239
2014-03-14,213
2014-03-15,121
2014-03-16,119
2014-03-17,209
2014-03-18,213
2014-03-19,192
2014-03-20,124
2014-03-21,149
2014-03-22,129
2014-03-23,119
2014-03-24,214
2014-03-25,236
